,id_recibo,producto_id,pedido_id,cantidad,valor_unitario,valor_total,ciudad,costo_envio,codigo_estado,nombre_estado,vendedor_id,fecha_compra,total,producto,precio,marca,sku,condicion,tipo_producto,nombre_vendedor,año,mes
0,1,41518,341,3,260,780,BR-BA,156.0,BA,Bahia,6,2019-01-05,780,Calca Jeans Basica,260,Banana Republic,255410.0,Nuevo con etiqueta,Calca,Unknown,2019,1
1,2,4307,1174,5,6175,30875,BR-RJ,6175.0,RJ,Rio de Janeiro,3,2019-01-05,30875,Bolsa Intrecciato Caramelo,6175,Bottega Veneta,301305.0,Usado,Bolsa,Nadia Oliveira,2019,1
2,3,22407,1399,3,200,600,BR-PB,120.0,PB,Paraíba,1,2019-01-05,600,Cropped Listras Florzinhas,200,Topshop,327426.0,Usado,Cropped,Ana Duarte,2019,1
3,4,3820,1652,6,139,834,BR-DF,166.8,DF,Distrito Federal,4,2019-01-05,834,Shorts Jeans Tye Dye,139,Lezalez,252560.0,Usado,Shorts,Millena Pereira,2019,1
4,5,29012,2470,3,525,1575,BR-BA,315.0,BA,Bahia,2,2019-01-05,1575,Casaco Branco Costuras,525,Tigresse,257889.0,Usado,Casaco,Daniel Siqueira,2019,1
5,6,72621,2980,3,179,537,BR-MG,107.4,MG,Minas Gerais,1,2019-01-05,537,Capa Fio Marrom,179,Zara,304783.0,Usado,Capa,Ana Duarte,2019,1
6,7,86243,3443,4,350,1400,BR-PR,280.0,PR,Paraná,3,2019-01-05,1400,Sapatilha P&B Zebra,350,Jorge Bischoff,909166.0,Nuevo sin etiqueta,Sapatilha,Nadia Oliveira,2019,1
7,8,29012,3557,5,525,2625,BR-MS,525.0,MS,Mato Grosso do Sul,4,2019-01-05,2625,Casaco Branco Costuras,525,Tigresse,257889.0,Usado,Casaco,Millena Pereira,2019,1
8,9,61071,3585,3,450,1350,BR-SP,270.0,SP,São Paulo,1,2019-01-05,1350,Macacao Malha Preto,450,Animale,308101.0,Usado,Macacao,Ana Duarte,2019,1
9,10,100961,3687,2,480,960,BR-GO,192.0,GO,Goiás,3,2019-01-06,960,Vestido Preto Renda,480,Dress&co,175945.0,Usado,Vestido,Nadia Oliveira,2019,1
10,11,45695,3722,5,240,1200,BR-AM,240.0,AM,Amazonas,2,2019-01-06,1200,Blusa Malha Paete,240,Le Lis Blanc,522405.0,Usado,Blusa,Daniel Siqueira,2019,1
11,12,59337,3870,5,390,1950,BR-CE,390.0,CE,Ceará,3,2019-01-07,1950,Blusa Tricot Mescla,390,Levi's,295977.0,Usado,Blusa,Nadia Oliveira,2019,1
12,13,79079,4004,4,320,1280,BR-RS,256.0,RS,Rio Grande do Sul,5,2019-01-08,1280,Regata Nude Textura,320,Gregory,247347.0,Usado,Regata,Paulo Calanca,2019,1
13,14,27336,4471,2,250,500,BR-AC,100.0,AC,Acre,2,2019-01-09,500,Calca Preta Resinada,250,Ellus,122068.0,Usado,Calca,Daniel Siqueira,2019,1
14,15,60010,5347,1,90,90,BR-RO,18.0,RO,Rondônia,1,2019-01-10,90,Vestido Estampa Azul,90,Forever 21,272238.0,Nuevo con etiqueta,Vestido,Ana Duarte,2019,1
15,16,56571,6129,5,420,2100,BR-DF,420.0,DF,Distrito Federal,1,2019-01-10,2100,Vestido Seda Floral,420,Animale,178553.0,Usado,Vestido,Ana Duarte,2019,1
16,17,3820,6355,4,139,556,BR-BA,111.2,BA,Bahia,5,2019-01-11,556,Shorts Jeans Tye Dye,139,Lezalez,252560.0,Usado,Shorts,Paulo Calanca,2019,1
17,18,40508,7562,2,245,490,BR-MT,98.0,MT,Mato Grosso,1,2019-01-12,490,Regata Bicolor Alcinha,245,Express,247166.0,Usado,Regata,Ana Duarte,2019,1
18,19,57708,8077,4,990,3960,BR-CE,792.0,CE,Ceará,3,2019-01-12,3960,Sapatilha Python Bege,990,Tory Burch,278531.0,Usado,Sapatilha,Nadia Oliveira,2019,1
19,20,17329,9626,6,590,3540,BR-CE,708.0,CE,Ceará,4,2019-01-13,3540,Blusa Renda Pb,590,Isolda,525179.0,Usado,Blusa,Millena Pereira,2019,1
20,21,43888,10557,1,190,190,BR-DF,38.0,DF,Distrito Federal,4,2019-01-13,190,Regata Renda Branca,190,Farm,257576.0,Usado,Regata,Millena Pereira,2019,1
21,22,12609,10809,5,320,1600,BR-BA,320.0,BA,Bahia,1,2019-01-14,1600,Calca Jeans Lavagem,320,Armani Exchange,278260.0,Usado,Calca,Ana Duarte,2019,1
22,23,62594,11320,1,300,300,BR-RR,60.0,RR,Roraima,2,2019-01-14,300,Blusa Pontas Blue,300,Dkny,163810.0,Usado,Blusa,Daniel Siqueira,2019,1
23,24,100481,12119,1,410,410,BR-CE,82.0,CE,Ceará,2,2019-01-14,410,Bomber Tricot Off,410,Sacada,208772.0,Usado,Bomber,Daniel Siqueira,2019,1
24,25,6888,12392,3,350,1050,BR-PE,210.0,PE,Pernambuco,3,2019-01-14,1050,Sapato Python,350,Cori,952821.0,Usado,Sapato,Nadia Oliveira,2019,1
25,26,70813,13009,5,120,600,BR-PR,120.0,PR,Paraná,5,2019-01-15,600,Saia Costura Preta,120,Erre Erre,167089.0,Usado,Saia,Paulo Calanca,2019,1
26,27,14420,13550,2,690,1380,BR-MA,276.0,MA,Maranhão,1,2019-01-15,1380,Vestido Rose Drapeado,690,Vera Wang,295452.0,Nuevo sin etiqueta,Vestido,Ana Duarte,2019,1
27,28,31651,13792,3,180,540,BR-PE,108.0,PE,Pernambuco,2,2019-01-15,540,Blusa Roxa Babadinhos,180,Zara,295222.0,Usado,Blusa,Daniel Siqueira,2019,1
28,29,75706,15194,5,100,500,BR-RS,100.0,RS,Rio Grande do Sul,5,2019-01-16,500,Shorts Poa Pb,100,Forever 21,258661.0,Usado,Shorts,Paulo Calanca,2019,1
29,30,31835,15954,2,399,798,BR-DF,159.6,DF,Distrito Federal,2,2019-01-16,798,Camisa Seda Pb,399,Mixed,258114.0,Usado,Camisa,Daniel Siqueira,2019,1
30,31,17258,16179,6,420,2520,BR-PA,504.0,PA,Pará,5,2019-01-16,2520,Saia Transparente Cover,420,Luisa Farani,257900.0,Usado,Saia,Paulo Calanca,2019,1
31,32,77558,16504,5,790,3950,BR-AM,790.0,AM,Amazonas,2,2019-01-17,3950,Bota Veludo Azul,790,A.brand,142974.0,Nuevo sin etiqueta,Bota,Daniel Siqueira,2019,1
32,33,41189,16637,5,160,800,BR-MS,160.0,MS,Mato Grosso do Sul,3,2019-01-17,800,Calca Acetinada Preta,160,Zara,176893.0,Usado,Calca,Nadia Oliveira,2019,1
33,34,31651,16781,4,180,720,BR-MS,144.0,MS,Mato Grosso do Sul,2,2019-01-17,720,Blusa Roxa Babadinhos,180,Zara,295222.0,Usado,Blusa,Daniel Siqueira,2019,1
34,35,4553,16923,2,110,220,BR-BA,44.0,BA,Bahia,5,2019-01-17,220,Blusa Preta Aplicacao,110,Zara,232886.0,Usado,Blusa,Paulo Calanca,2019,1
35,36,53458,17133,6,450,2700,BR-PR,540.0,PR,Paraná,5,2019-01-17,2700,Vestido Renda Branco,450,Le Lis Blanc,239416.0,Usado,Vestido,Paulo Calanca,2019,1
36,37,89334,18674,3,350,1050,BR-MG,210.0,MG,Minas Gerais,2,2019-01-17,1050,Pantacourt Amarracao Verde,350,Ateliê de Calças,220768.0,Nuevo con etiqueta,Pantacourt,Daniel Siqueira,2019,1
37,38,75706,18823,6,100,600,BR-PR,120.0,PR,Paraná,4,2019-01-17,600,Shorts Poa Pb,100,Forever 21,258661.0,Usado,Shorts,Millena Pereira,2019,1
38,39,57696,19040,6,410,2460,BR-PE,492.0,PE,Pernambuco,1,2019-01-17,2460,Vestido Estampa Verde,410,Farm,295337.0,Usado,Vestido,Ana Duarte,2019,1
39,40,27546,19990,5,336,1680,BR-MS,336.0,MS,Mato Grosso do Sul,5,2019-01-18,1680,Calca Veludo Cotele,336,Joe's,236203.0,Usado,Calca,Paulo Calanca,2019,1
40,41,49497,21708,5,320,1600,BR-SC,320.0,SC,Santa Catarina,5,2019-01-18,1600,Regata Alcinha Paete,320,Morena Rosa,256324.0,Nuevo con etiqueta,Regata,Paulo Calanca,2019,1
